"","group_name","seqnames","start","end","width","strand","fb_tx_id","fb_gene_id","fb_symbol","gene_type","start_r","end_r","region_ip","signal"
"22","0","chrX",467057,469335,2279,"-","FBtr0070099","FBgn0010019","Cyp4g1","mRNA",469336,469485,90.3610636591911,90.3610636591911
"23","0","chr3R",12378500,12379255,756,"+","FBtr0082574","FBgn0010043","GstD7","mRNA",12378350,12378499,282.531652987003,282.531652987003
"24","0","chr3R",12380008,12380815,808,"+","FBtr0082575","FBgn0010044","GstD8","mRNA",12379858,12380007,406.42035138607,406.42035138607
"25","0","chr2R",11346325,11347137,813,"+","FBtr0088122","FBgn0010357","betaTry","mRNA",11346175,11346324,154.963090002537,154.963090002537
"26","0","chr2R",11355319,11356128,810,"+","FBtr0088124","FBgn0010358","deltaTry","mRNA",11355169,11355318,0,0
"27","0","chr2R",11349061,11349870,810,"-","FBtr0088159","FBgn0010359","gammaTry","mRNA",11349871,11350020,0,0
"28","0","chr2R",11345237,11346066,830,"-","FBtr0088160","FBgn0010425","epsilonTry","mRNA",11346067,11346216,167.638172507286,167.638172507286
"29","0","chr2L",7496791,7497365,575,"-","FBtr0079455","FBgn0011283","Obp28a","mRNA",7497366,7497515,529.082429885864,529.082429885864
"30","0","chr2R",11340513,11341423,911,"-","FBtr0088163","FBgn0011554","etaTry","mRNA",11341424,11341573,424.001920580864,424.001920580864
"31","0","chr2R",11341714,11342760,1047,"-","FBtr0088162","FBgn0011555","thetaTry","mRNA",11342761,11342910,180.722128510475,180.722128510475
"32","0","chr2R",11339186,11340132,947,"-","FBtr0088164","FBgn0011556","zetaTry","mRNA",11340133,11340282,439.947983622551,439.947983622551
"33","0","chr3R",24341551,24343685,2135,"+","FBtr0084607","FBgn0011581","Ms","mRNA",24341401,24341550,201.983554840088,201.983554840088
"34","0","chrX",436139,437448,1310,"-","FBtr0070100","FBgn0011822","Pgcl","mRNA",437449,437598,50.7003254294395,50.7003254294395
"35","0","chrX",20962605,20963505,901,"-","FBtr0077272","FBgn0011834","Ser6","mRNA",20963506,20963655,0,0
"36","0","chr3R",12509076,12511461,2386,"+","FBtr0082638","FBgn0013279","Hsp70Bc","mRNA",12508926,12509075,0,0
"37","0","chr2R",8004824,8006672,1849,"+","FBtr0088863","FBgn0013307","Odc1","mRNA",8004674,8004823,657.468739509583,657.468739509583
"38","0","chr2R",11356720,11357537,818,"+","FBtr0088125","FBgn0015001","iotaTry","mRNA",11356570,11356719,361.444260954857,361.444260954857
"39","0","chrX",14785099,14786237,1139,"-","FBtr0073937","FBgn0015010","Ag5r","mRNA",14786238,14786387,92.8143053650856,92.8143053650856
"40","0","chr3R",7536687,7538615,1929,"-","FBtr0081546","FBgn0015572","alpha-Est4","mRNA",7538616,7538765,889.708944797516,889.708944797516
"41","0","chr2R",11310335,11318676,8342,"-","FBtr0089380","FBgn0016047","nompA","mRNA",11318677,11318826,184.810864925385,184.810864925385
"42","0","chr3R",31048929,31052540,3612,"+","FBtr0085733","FBgn0016123","Alp4","mRNA",31048779,31048928,314.423793494701,314.423793494701
"43","0","chr3R",15483158,15484699,1542,"+","FBtr0347603","FBgn0019940","Rh6","mRNA",15483008,15483157,191.761715143919,191.761715143919
"44","0","chr2L",14378218,14381172,2955,"-","FBtr0080638","FBgn0020258","ppk","mRNA",14381173,14381322,207.298913240433,207.298913240433
"45","0","chrX",14782962,14784052,1091,"-","FBtr0073938","FBgn0020508","Ag5r2","mRNA",14784053,14784202,689.360880017281,689.360880017281
"46","0","chr3L",6136215,6136791,577,"-","FBtr0077057","FBgn0020639","Lcp65Af","mRNA",6136792,6136941,105.080512344837,105.080512344837
"47","0","chr3L",6143395,6144006,612,"+","FBtr0076990","FBgn0020641","Lcp65Ad","mRNA",6143245,6143394,90.7699374258518,90.7699374258518
"48","0","chr3L",6149548,6149960,413,"+","FBtr0076994","FBgn0020644","Lcp65Ab1","mRNA",6149398,6149547,0,0
"49","0","chr3L",6151304,6151803,500,"+","FBtr0076995","FBgn0020645","Lcp65Aa","mRNA",6151154,6151303,142.288009434938,142.288009434938
"50","0","chr3L",6152050,6152745,696,"-","FBtr0077021","FBgn0020765","Acp65Aa","mRNA",6152746,6152895,16.763817101717,16.763817101717
"51","0","chr2L",7775804,7778029,2226,"-","FBtr0301151","FBgn0020880","CG7179","mRNA",7778030,7778179,26.9856567978859,26.9856567978859
"52","0","chr2L",4954279,4955144,866,"-","FBtr0100432","FBgn0020906","Jon25Bi","mRNA",4955145,4955294,332.414235591888,332.414235591888
"53","0","chr3R",26455462,26456141,680,"-","FBtr0085024","FBgn0023178","Pdf","mRNA",26456142,26456291,130.839548915625,130.839548915625
"54","0","chrX",2708684,2711668,2985,"+","FBtr0070480","FBgn0024997","CG2681","mRNA",2708534,2708683,319.330278873444,319.330278873444
"55","0","chrX",1472522,1473727,1206,"+","FBtr0070257","FBgn0025383","CG14780","mRNA",1472372,1472521,529.900179743767,529.900179743767
"56","0","chr2R",18386602,18387030,429,"+","FBtr0086664","FBgn0025583","IM2","mRNA",18386452,18386601,349.995797157288,349.995797157288
"57","0","chrX",2920119,2924426,4308,"+","FBtr0301058","FBgn0025643","CG3588","mRNA",2919969,2920118,961.261822462082,961.261822462082
"58","0","chrX",124370,126714,2345,"-","FBtr0112921","FBgn0025837","CG17636","mRNA",126715,126864,586.324735045433,586.324735045433
"59","0","chr2R",22379637,22382675,3039,"+","FBtr0071821","FBgn0025878","wrapper","mRNA",22379487,22379636,509.047629714012,509.047629714012
"60","0","chr2L",13849400,13850329,930,"+","FBtr0080551","FBgn0028532","CG7968","mRNA",13849250,13849399,176.633392363787,176.633392363787
"61","0","chr2L",13847925,13849161,1237,"+","FBtr0080550","FBgn0028533","CG7953","mRNA",13847775,13847924,357.355522722006,357.355522722006
"62","0","chr2L",13846752,13847799,1048,"+","FBtr0080549","FBgn0028534","CG7916","mRNA",13846602,13846751,228.151466667652,228.151466667652
"63","0","chr2L",13968280,13969976,1697,"-","FBtr0080617","FBgn0028542","NimB4","mRNA",13969977,13970126,1011.96214181185,1011.96214181185
"64","0","chr2L",14424315,14425189,875,"-","FBtr0080633","FBgn0028871","Cpr35B","mRNA",14425190,14425339,0,0
"65","0","chr2L",14029262,14031539,2278,"-","FBtr0080606","FBgn0028872","CG18095","mRNA",14031540,14031689,88.7255688309669,88.7255688309669
"66","0","chr2L",13844377,13845325,949,"-","FBtr0080563","FBgn0028920","CG8997","mRNA",13845326,13845475,1208.63035833836,1208.63035833836
"67","0","chr2L",15610732,15611719,988,"-","FBtr0080785","FBgn0028950","CG15255","mRNA",15611720,15611869,469.386883050203,469.386883050203
"68","0","chrX",1369249,1370176,928,"+","FBtr0070213","FBgn0029573","CG14770","mRNA",1369099,1369248,81.7747183144093,81.7747183144093
"69","0","chrX",2885186,2885914,729,"-","FBtr0070564","FBgn0029639","CG14419","mRNA",2885915,2886064,128.795181632042,128.795181632042
"70","0","chrX",5405238,5410849,5612,"-","FBtr0070797","FBgn0029762","NAAT1","mRNA",5410850,5410999,974.345787286758,974.345787286758
"71","0","chrX",5427517,5428217,701,"+","FBtr0070776","FBgn0029765","CG16756","mRNA",5427367,5427516,928.551933288574,928.551933288574
"72","0","chrX",5792140,5794543,2404,"+","FBtr0070814","FBgn0029810","CG12239","mRNA",5791990,5792139,136.972653210163,136.972653210163
"73","0","chrX",5952565,5954046,1482,"+","FBtr0070863","FBgn0029827","CG6048","mRNA",5952415,5952564,902.792902588844,902.792902588844
"74","0","chrX",6237315,6240558,3244,"+","FBtr0070893","FBgn0029851","CG14445","mRNA",6237165,6237314,329.960991382599,329.960991382599
"75","0","chrX",6747544,6755752,8209,"+","FBtr0070960","FBgn0029898","CG14439","mRNA",6747394,6747543,867.220887184143,867.220887184143
"76","0","chrX",7418594,7422142,3549,"+","FBtr0345910","FBgn0029950","CG9657","mRNA",7418444,7418593,114.893480479717,114.893480479717
"77","0","chrX",8135824,8137046,1223,"+","FBtr0300914","FBgn0030005","CG2120","mRNA",8135674,8135823,1000.10481834412,1000.10481834412
"78","0","chrX",9191657,9192548,892,"+","FBtr0071304","FBgn0030098","CG12057","mRNA",9191507,9191656,121.844330012798,121.844330012798
"79","0","chrX",9216872,9217466,595,"+","FBtr0346164","FBgn0030105","CG15369","mRNA",9216722,9216871,69.0996364057064,69.0996364057064
"80","0","chrX",9659096,9662758,3663,"-","FBtr0071403","FBgn0030148","CG3106","mRNA",9662759,9662908,380.252438753843,380.252438753843
"81","0","chrX",9874493,9876672,2180,"-","FBtr0071397","FBgn0030156","CG15247","mRNA",9876673,9876822,253.092757076025,253.092757076025
"82","0","chrX",9879870,9880535,666,"+","FBtr0071389","FBgn0030158","CG9686","mRNA",9879720,9879869,74.8238665759563,74.8238665759563
"83","0","chrX",10842205,10842995,791,"+","FBtr0073378","FBgn0030237","CG15209","mRNA",10842055,10842204,937.95602273941,937.95602273941
"84","0","chrX",11089290,11090107,818,"+","FBtr0073427","FBgn0030262","Vago","mRNA",11089140,11089289,163.140567004681,163.140567004681
"85","0","chrX",11477058,11483106,6049,"+","FBtr0073503","FBgn0030304","Cyp4g15","mRNA",11476908,11477057,76.8682361245155,76.8682361245155
"86","0","chrX",11763474,11764590,1117,"-","FBtr0073613","FBgn0030332","CG9360","mRNA",11764591,11764740,1058.16485214233,1058.16485214233
"87","0","chrX",12486970,12489448,2479,"+","FBtr0073650","FBgn0030394","Cpr11A","mRNA",12486820,12486969,143.923505276442,143.923505276442
"88","0","chrX",14169592,14171545,1954,"+","FBtr0073868","FBgn0030537","CG12480","mRNA",14169442,14169591,513.136362433434,513.136362433434
"89","0","chrX",14191220,14191962,743,"-","FBtr0343144","FBgn0030544","CG13403","mRNA",14191963,14192112,179.086634010077,179.086634010077
"90","0","chrX",14906334,14909070,2737,"-","FBtr0073978","FBgn0030594","fiz","mRNA",14909071,14909220,309.108437895775,309.108437895775
"91","0","chrX",15113302,15116542,3241,"-","FBtr0074028","FBgn0030615","Cyp4s3","mRNA",15116543,15116692,1572.93670225143,1572.93670225143
"92","0","chrX",16265242,16266537,1296,"-","FBtr0290087","FBgn0030729","CG12507","mRNA",16266538,16266687,78.9126027524471,78.9126027524471
"93","0","chrX",16399782,16403699,3918,"-","FBtr0074304","FBgn0030746","CG9981","mRNA",16403700,16403849,224.471605479717,224.471605479717
"94","0","chrX",16408309,16414403,6095,"+","FBtr0074272","FBgn0030747","CG4301","mRNA",16408159,16408308,307.472942113876,307.472942113876
"95","0","chrX",16415046,16417585,2540,"+","FBtr0074273","FBgn0030748","Traf-like","mRNA",16414896,16415045,1515.28554582596,1515.28554582596
"96","0","chrX",16539153,16540852,1700,"-","FBtr0074297","FBgn0030756","CG9903","mRNA",16540853,16541002,612.083766698837,612.083766698837
"97","0","chrX",16700446,16701972,1527,"-","FBtr0074363","FBgn0030774","spheroide","mRNA",16701973,16702122,1973.6328125,1973.6328125
"98","0","chrX",16702786,16703884,1099,"-","FBtr0339830","FBgn0030775","CG9673","mRNA",16703885,16704034,3143.01124095917,3143.01124095917
"99","0","chrX",16704081,16705278,1198,"+","FBtr0074321","FBgn0030776","CG4653","mRNA",16703931,16704080,3088.22217559814,3088.22217559814
"100","0","chrX",17203112,17203925,814,"+","FBtr0074389","FBgn0030824","CG5070","mRNA",17202962,17203111,142.696884959936,142.696884959936
"101","0","chrX",17215304,17217365,2062,"+","FBtr0340616","FBgn0030828","CG5162","mRNA",17215154,17215303,48.2470833659172,48.2470833659172
"102","0","chrX",17230275,17231044,770,"-","FBtr0273221","FBgn0030832","CG10597","mRNA",17231045,17231194,0,0
"103","0","chrX",17283762,17284500,739,"-","FBtr0074444","FBgn0030837","CG8661","mRNA",17284501,17284650,182.766494691372,182.766494691372
"104","0","chrX",18493193,18494168,976,"-","FBtr0343047","FBgn0030929","CG15043","mRNA",18494169,18494318,283.758278727531,283.758278727531
"105","0","chrX",18660472,18662153,1682,"-","FBtr0074611","FBgn0030947","CG6696","mRNA",18662154,18662303,332.005355775356,332.005355775356
"106","0","chrX",18855940,18857451,1512,"-","FBtr0310441","FBgn0030968","CG7322","mRNA",18857452,18857601,1203.31499433517,1203.31499433517
"107","0","chrX",19213254,19214938,1685,"+","FBtr0074672","FBgn0030999","Mur18B","mRNA",19213104,19213253,455.894061088562,455.894061088562
"108","0","chrX",19215515,19216582,1068,"+","FBtr0074673","FBgn0031000","Muc18B","mRNA",19215365,19215514,508.229880213737,508.229880213737
"109","0","chrX",19592609,19595548,2940,"+","FBtr0074730","FBgn0031034","CG14205","mRNA",19592459,19592608,787.490540027618,787.490540027618
"110","0","chrX",19958393,19959403,1011,"-","FBtr0070036","FBgn0031080","CG12655","mRNA",19959404,19959553,685.272138297558,685.272138297558
"111","0","chr2L",320279,321248,970,"-","FBtr0078098","FBgn0031249","CG11911","mRNA",321249,321398,493.510430634022,493.510430634022
"112","0","chr2L",779173,779655,483,"+","FBtr0078005","FBgn0031277","CG13947","mRNA",779023,779172,149.238860845566,149.238860845566
"113","0","chr2L",1204215,1205250,1036,"+","FBtr0114498","FBgn0031324","CG14342","mRNA",1204065,1204214,31.4832662642002,31.4832662642002
"114","0","chr2L",1240036,1242205,2170,"+","FBtr0077920","FBgn0031327","CG5397","mRNA",1239886,1240035,143.923506170511,143.923506170511
"115","0","chr2L",2838411,2839547,1137,"+","FBtr0077618","FBgn0031467","Cpr23B","mRNA",2838261,2838410,78.0948552787304,78.0948552787304
"116","0","chr2L",3275800,3279470,3671,"-","FBtr0077609","FBgn0031514","CG3332","mRNA",3279471,3279620,622.714480817318,622.714480817318
"117","0","chr2L",3445992,3447589,1598,"+","FBtr0077516","FBgn0031533","CG2772","mRNA",3445842,3445991,243.68866071105,243.68866071105
"118","0","chr2L",3525131,3527588,2458,"+","FBtr0089937","FBgn0031548","CG8852","mRNA",3524981,3525130,723.706261396408,723.706261396408
"119","0","chr2L",3697242,3697812,571,"-","FBtr0077545","FBgn0031562","CG3604","mRNA",3697813,3697962,576.920639336109,576.920639336109
"120","0","chr2L",4004984,4005670,687,"+","FBtr0077505","FBgn0031579","CG15422","mRNA",4004834,4004983,1675.15510320663,1675.15510320663
"121","0","chr2L",4006041,4006606,566,"+","FBtr0077506","FBgn0031580","CG15423","mRNA",4005891,4006040,124.297572404146,124.297572404146
"122","0","chr2L",4949941,4950767,827,"-","FBtr0079056","FBgn0031653","Jon25Biii","mRNA",4950768,4950917,207.707786828279,207.707786828279
"123","0","chr2L",4952253,4953136,884,"-","FBtr0079055","FBgn0031654","Jon25Bii","mRNA",4953137,4953286,434.223757266998,434.223757266998
"124","0","chr2L",5212395,5214160,1766,"-","FBtr0342940","FBgn0031690","CG7742","mRNA",5214161,5214310,31.4832662642002,31.4832662642002
"125","0","chr2L",5530620,5532223,1604,"-","FBtr0079128","FBgn0031713","CG7277","mRNA",5532224,5532373,278.442919433117,278.442919433117
"126","0","chr2L",6255859,6256822,964,"+","FBtr0340167","FBgn0031791","AANATL2","mRNA",6255709,6255858,814.885072648525,814.885072648525
"127","0","chr2L",6803011,6804372,1362,"+","FBtr0079339","FBgn0031860","CG11236","mRNA",6802861,6803010,132.475044518709,132.475044518709
"128","0","chr2L",7410909,7412229,1321,"+","FBtr0079442","FBgn0031910","CG15818","mRNA",7410759,7410908,184.401988983154,184.401988983154
"129","0","chr2L",7689311,7691061,1751,"-","FBtr0335489","FBgn0031929","CG18585","mRNA",7691062,7691211,326.690000295639,326.690000295639
"130","0","chr2L",7743682,7744839,1158,"-","FBtr0079499","FBgn0031940","CG7214","mRNA",7744840,7744989,75.2327402830124,75.2327402830124
"131","0","chr2L",7752170,7753186,1017,"-","FBtr0346499","FBgn0031942","CG7203","mRNA",7753187,7753336,81.774718940258,81.774718940258
"132","0","chr2L",7857957,7860839,2883,"-","FBtr0079563","FBgn0031957","TwdlE","mRNA",7860840,7860989,139.83476960659,139.83476960659
"133","0","chr2L",8242486,8243426,941,"+","FBtr0346906","FBgn0032008","CG14277","mRNA",8242336,8242485,188.899603158236,188.899603158236
"134","0","chr2L",8494893,8496307,1415,"-","FBtr0343427","FBgn0032049","Bace","mRNA",8496308,8496457,1224.1675350666,1224.1675350666
"135","0","chr2L",8772957,8776263,3307,"-","FBtr0079742","FBgn0032068","LManV","mRNA",8776264,8776413,41.7051059603691,41.7051059603691
"136","0","chr2L",8777661,8781252,3592,"-","FBtr0079741","FBgn0032069","LManVI","mRNA",8781253,8781402,234.693445086479,234.693445086479
"137","0","chr2L",8991967,8993632,1666,"+","FBtr0079761","FBgn0032085","CG9555","mRNA",8991817,8991966,1060.20923447609,1060.20923447609
"138","0","chr2L",9589476,9591783,2308,"+","FBtr0303250","FBgn0032131","CG3841","mRNA",9589326,9589475,172.544656455517,172.544656455517
"139","0","chr2L",9769060,9770409,1350,"+","FBtr0079868","FBgn0032144","CG17633","mRNA",9768910,9769059,433.406007051468,433.406007051468
"140","0","chr2L",10091208,10092389,1182,"-","FBtr0079969","FBgn0032181","CG13133","mRNA",10092390,10092539,121.844330668449,121.844330668449
"141","0","chr2L",10144776,10155510,10735,"+","FBtr0079943","FBgn0032187","CG4839","mRNA",10144626,10144775,2023.51539039612,2023.51539039612
"142","0","chr2L",10681902,10682383,482,"+","FBtr0336847","FBgn0032281","CG17107","mRNA",10681752,10681901,570.787538528442,570.787538528442
"143","0","chr2L",10820705,10821967,1263,"+","FBtr0080140","FBgn0032304","CG17134","mRNA",10820555,10820704,29.4388983249664,29.4388983249664
"144","0","chr2L",12451945,12453242,1298,"-","FBtr0080382","FBgn0032436","CG5418","mRNA",12453243,12453392,18.399311453104,18.399311453104
"145","0","chr2L",16860029,16861489,1461,"-","FBtr0080923","FBgn0032615","CG6012","mRNA",16861490,16861639,122.253204345703,122.253204345703
"146","0","chr2L",18090737,18092256,1520,"-","FBtr0081045","FBgn0032663","CG15153","mRNA",18092257,18092406,140.243640720844,140.243640720844
"147","0","chr2R",7006442,7008622,2181,"+","FBtr0086179","FBgn0033124","Tsp42Ec","mRNA",7006292,7006441,0,0
"148","0","chr2R",7033562,7034920,1359,"+","FBtr0089026","FBgn0033129","Tsp42Eh","mRNA",7033412,7033561,2251.25800132751,2251.25800132751
"149","0","chr2R",7062108,7063569,1462,"-","FBtr0089060","FBgn0033138","Tsp42Eq","mRNA",7063570,7063719,3411.23236036301,3411.23236036301
"150","0","chr2R",7789206,7789988,783,"+","FBtr0088829","FBgn0033221","CG12825","mRNA",7789056,7789205,1015.23313724995,1015.23313724995
"151","0","chr2R",8458815,8460884,2070,"+","FBtr0088748","FBgn0033294","Mal-A4","mRNA",8458665,8458814,523.358200550079,523.358200550079
"152","0","chr2R",8594031,8595001,971,"-","FBtr0290280","FBgn0033308","CG8736","mRNA",8595002,8595151,216.703006207943,216.703006207943
"153","0","chr2R",9561638,9563871,2234,"+","FBtr0088520","FBgn0033423","CG1809","mRNA",9561488,9561637,445.672219991684,445.672219991684
"154","0","chr2R",10256686,10261276,4591,"+","FBtr0088336","FBgn0033501","CG12911","mRNA",10256536,10256685,485.741831749678,485.741831749678
"155","0","chr2R",11233192,11233714,523,"-","FBtr0088195","FBgn0033587","CG13218","mRNA",11233715,11233864,238.78217869997,238.78217869997
"156","0","chr2R",11233995,11234465,471,"+","FBtr0088106","FBgn0033588","CG13228","mRNA",11233845,11233994,444.445594668388,444.445594668388
"157","0","chr2R",11255167,11255983,817,"+","FBtr0088112","FBgn0033598","Cpr47Eb","mRNA",11255017,11255166,303.384207367897,303.384207367897
"158","0","chr2R",11302247,11302987,741,"-","FBtr0088171","FBgn0033614","Obp47b","mRNA",11302988,11303137,182.766497701406,182.766497701406
"159","0","chr2R",11684165,11686434,2270,"-","FBtr0088084","FBgn0033645","CG13196","mRNA",11686435,11686584,33.9365077912807,33.9365077912807
"160","0","chr2R",12383892,12384520,629,"+","FBtr0339629","FBgn0033724","CG8501","mRNA",12383742,12383891,443.218974471092,443.218974471092
"161","0","chr2R",12390896,12391699,804,"-","FBtr0087955","FBgn0033726","Cpr49Ad","mRNA",12391700,12391849,60.5132910013199,60.5132910013199
"162","0","chr2R",12402216,12405108,2893,"+","FBtr0087920","FBgn0033728","Cpr49Ae","mRNA",12402066,12402215,101.809524834156,101.809524834156
"163","0","chr2R",12405932,12406522,591,"+","FBtr0087921","FBgn0033729","Cpr49Af","mRNA",12405782,12405931,71.1440042853355,71.1440042853355
"164","0","chr2R",12407793,12408523,731,"+","FBtr0087922","FBgn0033730","Cpr49Ag","mRNA",12407643,12407792,188.490727007389,188.490727007389
"165","0","chr2R",12928860,12930644,1785,"+","FBtr0087789","FBgn0033782","sug","mRNA",12928710,12928859,1120.72251069546,1120.72251069546
"166","0","chr2R",13046736,13047256,521,"-","FBtr0087797","FBgn0033788","CG13323","mRNA",13047257,13047406,2151.90170145035,2151.90170145035
"167","0","chr2R",13297202,13298467,1266,"-","FBtr0087754","FBgn0033826","CG4734","mRNA",13298468,13298617,268.629952728748,268.629952728748
"168","0","chr2R",13794777,13805231,10455,"+","FBtr0087630","FBgn0033869","Cpr50Cb","mRNA",13794627,13794776,94.8586752414703,94.8586752414703
"169","0","chr2R",15327143,15328271,1129,"-","FBtr0087389","FBgn0034011","CG8160","mRNA",15328272,15328421,147.603366017342,147.603366017342
"170","0","chr2R",15942864,15947266,4403,"+","FBtr0114558","FBgn0034053","Cyp4aa1","mRNA",15942714,15942863,346.315931856632,346.315931856632
"171","0","chr2R",16443211,16444845,1635,"+","FBtr0113085","FBgn0034128","CG4409","mRNA",16443061,16443210,291.11800122261,291.11800122261
"172","0","chr2R",17128480,17130334,1855,"+","FBtr0340127","FBgn0034197","Cda9","mRNA",17128330,17128479,99.3562827706337,99.3562827706337
"173","0","chr2R",17582007,17584012,2006,"-","FBtr0086903","FBgn0034247","CG6484","mRNA",17584013,17584162,464.071532487869,464.071532487869
"174","0","chr2R",17767808,17769989,2182,"-","FBtr0089557","FBgn0034279","CG18635","mRNA",17769990,17770139,599.817556262016,599.817556262016
"175","0","chr2R",18020268,18022406,2139,"+","FBtr0089630","FBgn0034289","CG10910","mRNA",18020118,18020267,213.840893000364,213.840893000364
"176","0","chr2R",18044046,18045073,1028,"-","FBtr0086812","FBgn0034291","CG5770","mRNA",18045074,18045223,219.973993778229,219.973993778229
"177","0","chr2R",18046386,18047484,1099,"-","FBtr0086811","FBgn0034292","CG5767","mRNA",18047485,18047634,117.346721082926,117.346721082926
"178","0","chr2R",18050226,18052107,1882,"-","FBtr0086809","FBgn0034294","Muc55B","mRNA",18052108,18052257,199.939186871052,199.939186871052
"179","0","chr2R",18052550,18054066,1517,"-","FBtr0086808","FBgn0034295","CG10911","mRNA",18054067,18054216,544.619625747204,544.619625747204
"180","0","chr2R",18056064,18057065,1002,"-","FBtr0086807","FBgn0034296","CG10912","mRNA",18057066,18057215,624.349975466728,624.349975466728
"181","0","chr2R",18188978,18189654,677,"+","FBtr0086752","FBgn0034318","CG14500","mRNA",18188828,18188977,326.690001159906,326.690001159906
"182","0","chr2R",18383949,18384378,430,"+","FBtr0086662","FBgn0034329","IM1","mRNA",18383799,18383948,22.4880473315716,22.4880473315716
"183","0","chr2R",18742517,18743626,1110,"-","FBtr0086643","FBgn0034382","CG18609","mRNA",18743627,18743776,82.5924651622772,82.5924651622772
"184","0","chr2R",19703139,19703799,661,"-","FBtr0086477","FBgn0034470","Obp56d","mRNA",19703800,19703949,448.125463187695,448.125463187695
"185","0","chr2R",19815554,19816204,651,"+","FBtr0086335","FBgn0034475","Obp56h","mRNA",19815404,19815553,55.6068079471588,55.6068079471588
"186","0","chr2R",20003620,20005003,1384,"-","FBtr0086325","FBgn0034480","CG16898","mRNA",20005004,20005153,50.291452229023,50.291452229023
"187","0","chr2R",20288371,20291945,3575,"-","FBtr0086301","FBgn0034499","Cpr56F","mRNA",20291946,20292095,142.69688257575,142.69688257575
"188","0","chr2R",21067992,21069286,1295,"-","FBtr0071542","FBgn0034582","Cht9","mRNA",21069287,21069436,419.095431923866,419.095431923866
"189","0","chr2R",21118572,21120705,2134,"+","FBtr0345356","FBgn0034588","CG9394","mRNA",21118422,21118571,567.516545891762,567.516545891762
"190","0","chr2R",21799330,21800904,1575,"-","FBtr0071743","FBgn0034661","CG4386","mRNA",21800905,21801054,38.4341172575951,38.4341172575951
"191","0","chr2R",21835448,21836357,910,"-","FBtr0071739","FBgn0034664","CG4377","mRNA",21836358,21836507,145.967872470617,145.967872470617
"192","0","chr2R",22648995,22649750,756,"-","FBtr0345503","FBgn0034755","CG3746","mRNA",22649751,22649900,2341.61904191971,2341.61904191971
