"","seqnames","start","end","width","strand","fb_t_id","score","nr_ctss","dominant_ctss","tpm.dominant_ctss","q_0.1","q_0.9","interquantile_width","fb_g_id","gene_name","new_start","cage_sig","TPM","cluster"
"31","chrX",17149044,17149044,1,"+","FBtr0074387",2.811574514696,1,17149044,2.811574514696,1,1,1,"FBgn0260747","Chchd2",34298088,64.0462211966515,438.7754825,"1"
"32","chrX",17636037,17636037,1,"-","FBtr0074484",2.86689697978228,1,17636037,2.86689697978228,1,1,1,"FBgn0030854","CG8289",35272074,84.4305393099785,121.629618,"1"
"33","chrX",17907290,17907290,1,"-","FBtr0074540",2.17182059693434,1,17907290,2.17182059693434,1,1,1,"FBgn0030883","CG7772",17907290,22.2693224549294,38.5452905,"1"
"34","chrX",18505403,18505403,1,"-","FBtr0074623",8.07282477634649,1,18505403,8.07282477634649,1,1,1,"FBgn0010194","Wnt5",37010806,171.666660904884,20.8469905,"1"
"35","chr3L",19045446,19045446,1,"-","FBtr0075039",3.49350074852996,1,19045446,3.49350074852996,1,1,1,"FBgn0002945","nkd",57136338,74.9616919755936,2.0606095,"1"
"36","chr3L",18625961,18625961,1,"+","FBtr0075049",5.74428935919483,1,18625961,5.74428935919483,1,1,1,"FBgn0036801","MYPT-75D",55877883,191.218075096607,4.9262115,"1"
"37","chr3L",18899115,18899115,1,"+","FBtr0075066",4.13897512099213,1,18899115,4.13897512099213,1,1,1,"FBgn0036825","RpL26",37798230,104.244977355003,3587.1079085,"1"
"38","chr3L",17907812,17907812,1,"-","FBtr0075153",3.78996641217736,1,17907812,3.78996641217736,1,1,1,"FBgn0036770","Prestin",17907812,31.7820044457912,13.449688,"1"
"39","chr3L",16483646,16483646,1,"-","FBtr0075408",3.76716409674457,1,16483646,3.76716409674457,1,1,1,"FBgn0004569","aos",16483646,28.231187492609,111.9578275,"1"
"40","chr3L",15699849,15699849,1,"-","FBtr0075580",2.71561529642286,1,15699849,2.71561529642286,1,1,1,"FBgn0041160","comm2",15699849,22.3131591975689,5.7967175,"1"
"41","chr3L",15235620,15235620,1,"+","FBtr0075607",5.53398700619824,1,15235620,5.53398700619824,1,1,1,"FBgn0029114","Tollo",15235620,45.9852716326714,6.185277,"1"
"42","chr3L",14987412,14987412,1,"+","FBtr0075627",5.9399347035928,1,14987412,5.9399347035928,1,1,1,"FBgn0002778","mnd",14987412,56.988422870636,48.293036,"1"
"43","chr3L",14632604,14632604,1,"+","FBtr0075679",2.80540991619753,1,14632604,2.80540991619753,1,1,1,"FBgn0041604","dlp",29265208,47.6072520017624,14.9614145,"1"
"44","chr3L",13228694,13228694,1,"+","FBtr0075832",3.9147420601364,1,13228694,3.9147420601364,1,1,1,"FBgn0023095","caps",52914748,153.07966709137,10.940648,"1"
"45","chr3L",12408646,12408646,1,"-","FBtr0075983",2.67823006620477,1,12408646,2.67823006620477,1,1,1,"FBgn0052103","SCaMC",12408646,22.7076952457428,17.2393915,"1"
"46","chr3L",9505324,9505324,1,"-","FBtr0076427",16.5899259245573,2,9505324,15.5039156999539,5,5,1,"FBgn0036007","path",19010648,440.125968813896,78.487448,"1"
"47","chr3L",7867366,7867366,1,"-","FBtr0076775",2.1520054062489,1,7867366,2.1520054062489,1,1,1,"FBgn0016694","Pdp1",15734732,44.1879462003708,38.1338105,"1"
"48","chr3L",7804671,7804671,1,"-","FBtr0076783",9.47003732624721,1,7804671,9.47003732624721,1,1,1,"FBgn0052369","CG32369",7804671,105.866953551769,56.445756,"1"
"49","chr3L",7528782,7528782,1,"+","FBtr0076794",6.68192413640151,1,7528782,6.68192413640151,1,1,1,"FBgn0028582","lqf",60230200,641.075903892517,8.4579405,"1"
"50","chr3L",6495659,6495659,1,"+","FBtr0076968",3.08546331952681,1,6495659,3.08546331952681,1,1,1,"FBgn0020251","sfl",12991318,61.7228460907936,5.3576475,"1"
"51","chr3L",6550724,6550724,1,"+","FBtr0076970",2.51141731107586,1,6550724,2.51141731107586,1,1,1,"FBgn0042185","MCU",52405792,154.657806396484,1.273516,"1"
"52","chrX",21281149,21281149,1,"-","FBtr0077234",5.33196854543737,1,21281149,5.33196854543737,1,1,1,"FBgn0052521","CG32521",191530341,433.769562840462,92.4168085,"1"
"53","chr2L",4456802,4456802,1,"-","FBtr0077453",3.88647714288066,1,4456802,3.88647714288066,1,1,1,"FBgn0019982","Gs1l",8913604,104.771022081375,39.685428,"1"
"54","chr2L",4197377,4197377,1,"-","FBtr0077481",6.94785231382196,1,4197377,6.94785231382196,1,1,1,"FBgn0031589","Naprt",16789508,304.931891918182,29.674628,"1"
"55","chr2L",2888250,2888250,1,"+","FBtr0077634",2.33839248896063,1,2888250,2.33839248896063,1,1,1,"FBgn0041111","lilli",5776500,42.0837579965591,4.274298,"1"
"56","chr2L",1988292,1988292,1,"+","FBtr0077816",3.44101868013624,1,1988292,3.44101868013624,1,1,1,"FBgn0031381","Npc2a",1988292,39.0589886307716,475.4929855,"1"
"57","chr2L",852850,852850,1,"+","FBtr0078016",2.12219195310376,1,852850,2.12219195310376,1,1,1,"FBgn0020545","kraken",1705700,45.2838779687881,65.1634725,"1"
"58","chr2L",431227,431227,1,"+","FBtr0078059",4.51304740518689,1,431227,4.51304740518689,1,1,1,"FBgn0004583","ex",862454,90.567754149437,36.463869,"1"
"59","chr3R",5862038,5862038,1,"-","FBtr0078663",6.0962384823215,1,5862038,6.0962384823215,1,1,1,"FBgn0037391","CG2017",5862038,82.1948412656784,45.18932,"1"
"60","chr3R",5632356,5632356,1,"+","FBtr0078707",2.04884285678192,1,5632356,2.04884285678192,1,1,1,"FBgn0051549","CG31549",11264696,21.6117636561394,7.5289005,"1"
"61","chr2L",5029616,5029616,1,"+","FBtr0079001",2.18171031199843,1,5029616,2.18171031199843,1,1,1,"FBgn0000299","Col4a1",15088848,46.9935301542282,82.953374,"1"
"62","chr2L",5027437,5027437,1,"-","FBtr0079036",11.6783386079396,1,5027437,11.6783386079396,1,1,1,"FBgn0016075","vkg",10054874,270.651168763638,89.8302665,"1"
"63","chr2L",6367884,6367884,1,"+","FBtr0079253",17.5217569254227,2,6367884,16.4915720365045,1,1,1,"FBgn0031805","Nepl4",6367884,221.378098279238,115.5572635,"1"
"64","chr2L",6786856,6786856,1,"-","FBtr0079384",3.64684571127252,1,6786856,3.64684571127252,1,1,1,"FBgn0015776","nrv1",13573712,66.1942425370216,23.2271405,"1"
"65","chr2L",7811440,7811440,1,"+","FBtr0079490",2.94935787608757,1,7811440,2.94935787608757,1,1,1,"FBgn0261800","LanB1",7811440,25.863976418972,287.128538,"1"
"66","chr2L",7701599,7701599,1,"-","FBtr0079510",3.10048756372873,1,7701599,3.10048756372873,1,1,1,"FBgn0041182","Tep2",38507995,125.15534594655,4.0648415,"1"
"67","chr2L",8082975,8082975,1,"-","FBtr0079543",3.47311593148221,1,8082975,3.47311593148221,1,1,1,"FBgn0267488","Mcr",8082975,46.2921336889267,25.5552355,"1"
"68","chr2L",8277697,8277697,1,"-","FBtr0079615",2.68135073826193,1,8277697,2.68135073826193,1,1,1,"FBgn0003502","Btk29A",16555394,43.1358523368835,4.768743,"1"
"69","chr2L",8384479,8384479,1,"+","FBtr0079653",3.51094850618482,1,8384479,3.51094850618482,1,1,1,"FBgn0032036","CG13384",75460311,280.120023965836,9.324998,"1"
"70","chr2L",8709038,8709038,1,"-","FBtr0079747",3.01307542233803,1,8709038,3.01307542233803,1,1,1,"FBgn0004914","Hnf4",8709044,29.5463045835495,9.442467,"1"
"71","chr2L",8989178,8989178,1,"-","FBtr0079782",4.97742893060386,1,8989178,4.97742893060386,1,1,1,"FBgn0011705","rost",17978356,92.8911247849464,53.439231,"1"
"72","chr2L",9699840,9699840,1,"+","FBtr0079846",3.54287686624475,1,9699840,3.54287686624475,1,1,1,"FBgn0286786","hoip",19399680,75.7069281935692,155.0057145,"1"
"73","chr2L",11528201,11528201,1,"-","FBtr0080242",7.45520647994123,1,11528201,7.45520647994123,1,1,1,"FBgn0028490","CG31705",34584603,188.193300426006,472.5020245,"1"
"74","chr2L",13550143,13550143,1,"+","FBtr0080509",24.7923580199203,2,13550143,23.8846210944933,4,4,1,"FBgn0259984","kuz",67750715,1546.35893315077,27.9308025,"1"
"75","chr2L",13972947,13972947,1,"-","FBtr0080616",21.1574061922916,1,13972947,21.1574061922916,1,1,1,"FBgn0028430","He",27945894,363.32310461998,13.4474115,"1"
"76","chr2L",16325618,16325618,1,"-","FBtr0080845",3.22297546640613,1,16325618,3.22297546640613,1,1,1,"FBgn0000250","cact",48976698,73.4712279438972,142.461992,"1"
"77","chr2L",16445281,16445281,1,"+","FBtr0080860",2.44131752400816,1,16445281,2.44131752400816,1,1,1,"FBgn0020416","Idgf1",16445281,13.9840820431709,84.1574085,"1"
"78","chr2L",16451062,16451062,1,"+","FBtr0080863",2.87608992957416,1,16451062,2.87608992957416,1,1,1,"FBgn0020414","Idgf3",49353186,54.7088846862316,5.719787,"1"
"79","chr2L",16685395,16685395,1,"+","FBtr0080886",2.37712677039803,1,16685395,2.37712677039803,1,1,1,"FBgn0261278","grp",16685390,20.1212977170944,28.823853,"1"
"80","chr2L",16816665,16816665,1,"+","FBtr0080915",2.88833515682085,1,16816665,2.88833515682085,1,1,1,"FBgn0004797","mdy",50449995,88.7704285383224,8.1423115,"1"
"81","chr2L",20797717,20797717,1,"+","FBtr0081415",7.06893897949936,1,20797717,7.06893897949936,1,1,1,"FBgn0032886","CG9328",20797717,73.9095986485481,46.9630375,"1"
"82","chr2L",21053038,21053038,1,"+","FBtr0081461",3.48476825037575,1,21053038,3.48476825037575,1,1,1,"FBgn0010395","Itgbn",42106076,56.2870255112648,7.7304115,"1"
"83","chr3R",9157964,9157964,1,"-","FBtr0081994",10.3019663286624,2,9157964,9.3243430892065,1,1,1,"FBgn0003165","pum",27473892,72.3314570188522,1.748503,"1"
"84","chr3R",9394543,9394543,1,"-","FBtr0082051",4.17510760382328,1,9394543,4.17510760382328,1,1,1,"FBgn0000723","FER",37578172,13.6772215366364,18.175582,"1"
"85","chr3R",9705417,9705417,1,"-","FBtr0082092",7.54797495975453,1,9705417,7.54797495975453,1,1,1,"FBgn0051352","Unc-115a",38821668,303.529098272324,25.903322,"1"
"86","chr3R",9502577,9502577,1,"-","FBtr0082124",6.66720551894702,1,9502577,6.66720551894702,1,1,1,"FBgn0014380","RhoL",9502577,68.8683156371117,65.7393695,"1"
"87","chr3R",10170485,10170485,1,"-","FBtr0082183",3.14843696001745,1,10170485,3.14843696001745,1,1,1,"FBgn0040238","Best1",40681940,136.421516895294,19.834356,"1"
"88","chr3R",10885001,10885001,1,"-","FBtr0082332",2.45729543460429,1,10885001,2.45729543460429,1,1,1,"FBgn0037853","CG14696",10885001,25.2940926253796,260.319791,"1"
"89","chr3R",11980406,11980406,1,"-","FBtr0082506",2.10558116349181,1,11980406,2.10558116349181,1,1,1,"FBgn0037973","CG18547",11980406,17.4910618364811,72.1588755,"1"
"90","chr3R",14056948,14056948,1,"+","FBtr0082886",8.30462079003631,2,14056948,7.49806031017727,1,1,1,"FBgn0038197","foxo",56227756,331.058909654617,2.5356935,"1"
"91","chr3R",15147527,15147527,1,"-","FBtr0083035",2.625030445025,1,15147527,2.625030445025,1,1,1,"FBgn0266064","GlyS",30295054,45.1085279583931,118.8252315,"1"
"92","chr3R",15229355,15229355,1,"-","FBtr0083134",2.1520054062489,1,15229355,2.1520054062489,1,1,1,"FBgn0038306","Art3",30458710,59.8816812634468,62.057442,"1"
"93","chr3R",15666186,15666186,1,"+","FBtr0083162",2.11222961225708,1,15666186,2.11222961225708,1,1,1,"FBgn0053207","pxb",31332372,33.8423547148705,4.6827565,"1"
"94","chr3R",15853579,15853579,1,"-","FBtr0083189",4.49127488919276,1,15853579,4.49127488919276,1,1,1,"FBgn0265048","cv-d",15853579,46.5113186836243,163.236957,"1"
"95","chr3R",16187003,16187003,1,"+","FBtr0083255",6.69663420745523,1,16187003,6.69663420745523,1,1,1,"FBgn0086370","sra",16186995,82.9400721788406,87.6134175,"1"
"96","chr3R",16203080,16203080,1,"-","FBtr0083278",2.86996215911982,1,16203080,2.86996215911982,1,1,1,"FBgn0038407","CG6126",16203083,10.915474653244,37.572973,"1"
"97","chr3R",18447216,18447216,1,"-","FBtr0083646",3.15740597974191,1,18447216,3.15740597974191,1,1,1,"FBgn0004652","fru",36894442,64.0023822784424,4.162662,"1"
"98","chr3R",18396925,18396925,1,"-","FBtr0083657",3.81273259992394,1,18396925,3.81273259992394,1,1,1,"FBgn0028670","Vha100-2",18396925,44.6263173520565,8.5815015,"1"
"99","chr3R",18795169,18795169,1,"-","FBtr0083678",9.05603758858159,1,18795169,9.05603758858159,1,1,1,"FBgn0038652","CG7720",56385507,425.835016787052,10.3260135,"1"
"100","chr3R",20783087,20783087,1,"+","FBtr0083961",3.27340251953425,1,20783087,3.27340251953425,1,1,1,"FBgn0038826","Syp",62349261,148.345246821642,22.804623,"1"
"101","chr3R",21204930,21204930,1,"+","FBtr0084024",3.11549262983472,1,21204930,3.11549262983472,1,1,1,"FBgn0264357","SNF4Agamma",21204930,34.1492157578468,37.385709,"1"
"102","chr3R",22042196,22042196,1,"+","FBtr0084177",11.5171844837179,1,22042196,11.5171844837179,1,1,1,"FBgn0264491","how",132253176,652.035216450691,6.4297875,"1"
"103","chr3R",22367541,22367541,1,"+","FBtr0084213",18.4633392725384,1,22367541,18.4633392725384,1,1,1,"FBgn0267385","PyK",22367541,237.948575854301,371.3202915,"1"
"104","chr3R",22491418,22491418,1,"-","FBtr0084290",4.98272912773815,1,22491418,4.98272912773815,1,1,1,"FBgn0003676","CCT1",44982836,173.68318349123,74.254119,"1"
"105","chr3R",22446645,22446645,1,"-","FBtr0084295",2.86689697978228,1,22446645,2.86689697978228,1,1,1,"FBgn0038968","CG12499",22446645,48.1771357655525,30.5242185,"1"
"106","chr3R",23051517,23051517,1,"+","FBtr0084346",12.2441250139183,1,23051517,12.2441250139183,1,1,1,"FBgn0041225","Gr94a",23051664,4.77826011180878,65.6502265,"1"
"107","chr3R",24549017,24549017,1,"+","FBtr0084648",5.15156337758773,1,24549017,5.15156337758773,1,1,1,"FBgn0266758","Esyt2",73647051,121.122312068939,145.300638,"1"
"108","chr3R",24813990,24813990,1,"-","FBtr0084739",2.29948822418632,1,24813990,2.29948822418632,1,1,1,"FBgn0027539","lili",49627980,44.3632943630219,11.347647,"1"
"109","chr3R",25518324,25518324,1,"+","FBtr0084881",5.56231927933428,1,25518324,5.56231927933428,1,1,1,"FBgn0011666","msi",25518324,53.919814825058,3.609601,"1"
"110","chr3R",25740467,25740467,1,"-","FBtr0084927",3.98517058661983,1,25740467,3.98517058661983,1,1,1,"FBgn0051092","LpR2",128702335,186.527486741543,21.667337,"1"
"111","chr3R",26799046,26799046,1,"+","FBtr0085059",5.17256442062199,1,26799046,5.17256442062199,1,1,1,"FBgn0262473","Tl",80397138,142.16419672966,17.7639985,"1"
"112","chr3R",26980520,26980520,1,"+","FBtr0085071",6.06355348931311,1,26980520,6.06355348931311,1,1,1,"FBgn0039467","CG14253",134902600,291.298513412476,2.058024,"1"
"113","chr3R",27151667,27151667,1,"+","FBtr0085110",15.1789267666907,1,27151667,15.1789267666907,1,1,1,"FBgn0029155","Men-b",81455001,459.765057295561,285.001456,"1"
"114","chr3R",28599836,28599836,1,"+","FBtr0085298",5.86645253429234,1,28599836,5.86645253429234,1,1,1,"FBgn0001215","Hrb98DE",57199672,155.359204888344,60.7813635,"1"
"115","chr3R",28819633,28819633,1,"-","FBtr0085355",2.15861579649717,1,28819633,2.15861579649717,1,1,1,"FBgn0039601","CG1523",28819633,34.2807282805443,60.250839,"1"
"116","chr3R",30134275,30134275,1,"-","FBtr0085582",5.21973483893295,1,30134275,5.21973483893295,1,1,1,"FBgn0086355","Tpi",90402999,66.0188956260681,1.8844035,"1"
"117","chr3R",30015165,30015165,1,"-","FBtr0085603",3.63821174903017,1,30015165,3.63821174903017,1,1,1,"FBgn0039737","CG7920",60030330,60.4077295660973,17.402171,"1"
"118","chr3R",30277934,30277934,1,"+","FBtr0085619",33.1444894675554,3,30277934,31.0701446526673,3,3,1,"FBgn0010113","hdc",90833802,245.006382107735,9.627917,"1"
"119","chr3R",31714049,31714049,1,"+","FBtr0085825",5.28506355775559,1,31714049,5.28506355775559,1,1,1,"FBgn0003870","ttk",63427738,10.0825669765472,1.3720055,"1"
"120","chr2R",6131918,6131918,1,"-","FBtr0086011",4.02727028542424,1,6131918,4.02727028542424,1,1,1,"FBgn0000546","EcR",18395754,111.741140544415,7.811423,"1"
"121","chr2R",6015653,6015653,1,"-","FBtr0086029",7.85976849260267,1,6015653,7.85976849260267,1,1,1,"FBgn0000043","Act42A",6015653,90.2170596718788,825.645892,"1"
"122","chr2R",6878641,6878641,1,"-","FBtr0086196",2.17841505659176,1,6878641,2.17841505659176,1,1,1,"FBgn0265137","Spn42Da",75666743,84.1675141453743,8.753483,"1"
"123","chr2R",18406013,18406013,1,"+","FBtr0086674",8.0844879331479,1,18406013,8.0844879331479,1,1,1,"FBgn0063494","GstE6",18406013,80.046816945076,488.5201765,"1"
"124","chr2R",18407834,18407834,1,"+","FBtr0086676",2.20145439283007,1,18407834,2.20145439283007,1,1,1,"FBgn0063492","GstE8",36815668,33.7546824216843,144.2652325,"1"
"125","chr2R",17846701,17846701,1,"+","FBtr0086799",3.62669138410115,1,17846701,3.62669138410115,1,1,1,"FBgn0015522","olf186-M",17846701,28.3626996278763,37.1962215,"1"
"126","chr2R",17452594,17452594,1,"-","FBtr0086955",7.88325516888026,1,17452594,7.88325516888026,1,1,1,"FBgn0028956","mthl3",34905188,146.153391718864,46.37609,"1"
"127","chr2R",16289325,16289325,1,"+","FBtr0087139",3.5138542405882,1,16289325,3.5138542405882,1,1,1,"FBgn0028424","JhI-26",16289325,36.647939145565,124.662692,"1"
"128","chr2R",15665094,15665094,1,"-","FBtr0087347",3.12748296924829,1,15665094,3.12748296924829,1,1,1,"FBgn0023441","fus",46995282,72.0684370994568,39.5309485,"1"
"129","chr2R",15128826,15128826,1,"+","FBtr0087415",2.59360355933636,1,15128826,2.59360355933636,1,1,1,"FBgn0015371","chn",60515304,105.384744882584,10.198685,"1"
"130","chr2R",14875835,14875835,1,"+","FBtr0087452",4.08880762410177,1,14875835,4.08880762410177,1,1,1,"FBgn0033978","Cyp6a23",14875835,47.4319042563438,67.492385,"1"
"131","chr2R",13858975,13858975,1,"+","FBtr0087585",2.14538965598166,1,13858975,2.14538965598166,1,1,1,"FBgn0263697","Uba3",13858975,30.6422365009785,66.898582,"1"
"132","chr2R",14140895,14140895,1,"-","FBtr0087601",2.49871064794043,1,14140895,2.49871064794043,1,1,1,"FBgn0040752","Prosap",56563580,73.6465749740601,0.904575,"1"
"133","chr2R",13925503,13925503,1,"-","FBtr0087618",11.9886267323188,2,13925503,10.8124999784133,1,1,1,"FBgn0013733","shot",69627515,636.516824066639,14.488326,"1"
"134","chr2R",12980989,12980989,1,"-","FBtr0087798",8.8266617574935,1,12980989,8.8266617574935,1,1,1,"FBgn0005624","Psc",25961978,169.562474131584,3.8924285,"1"
"135","chr2R",12163012,12163012,1,"-","FBtr0088016",3.16636828459645,1,12163012,3.16636828459645,1,1,1,"FBgn0033688","Prp8",12163012,31.8696790337563,95.933149,"1"
"136","chr2R",10437988,10437988,1,"+","FBtr0088264",7.9606308103115,1,10437988,7.9606308103115,1,1,1,"FBgn0001122","Galphao",20875976,158.16478908062,48.3031565,"1"
"137","chr2R",9875284,9875284,1,"+","FBtr0088377",2.1520054062489,1,9875284,2.1520054062489,1,1,1,"FBgn0033459","CG12744",9875284,16.9650154411793,22.6056885,"1"
"138","chr2R",8666173,8666173,1,"+","FBtr0088699",16.5291515856578,2,8666173,15.2914013092663,2,2,1,"FBgn0263120","Acsl",25998519,771.579390317202,11.7514455,"1"
"139","chr2R",7587076,7587076,1,"-","FBtr0088952",2.74356529841934,1,7587076,2.74356529841934,1,1,1,"FBgn0004133","blow",7587076,23.3652538657188,54.335066,"1"
"140","chr3L",10696873,10696873,1,"-","FBtr0089569",5.88928319482793,1,10696873,5.88928319482793,1,1,1,"FBgn0036101","NijA",42787492,238.123929977417,6.242357,"1"
"141","chr2R",10124293,10124293,1,"+","FBtr0089758",4.74539482988607,1,10124293,4.74539482988607,1,1,1,"FBgn0050011,FBgn0284235","CG46319,gem",20248586,83.1154199242592,10.9244545,"1"
"142","chr3R",4739547,4739547,1,"-","FBtr0089949",3.47311593148221,1,4739547,3.47311593148221,1,1,1,"FBgn0026620","tacc",18958188,207.61320567131,24.5689995,"1"
"143","chr2L",13060138,13060138,1,"-","FBtr0089956",17.1526194614091,2,13060138,16.3503453775291,2,2,1,"FBgn0262160","CG9932",52240552,834.310523629189,6.738654,"1"
"144","chr3R",25473056,25473056,1,"-","FBtr0089982",6.42060993504547,1,25473056,6.42060993504547,1,1,1,"FBgn0004509","Fur1",229257504,529.466271847486,21.316819,"1"
"145","chr2R",22546556,22546556,1,"-","FBtr0112820",4.52392327443872,1,22546556,4.52392327443872,1,1,1,"FBgn0003175","px",22546556,53.0430685281754,9.1089615,"1"
"146","chrX",2123317,2123317,1,"-","FBtr0112843",2.57785244709471,1,2123317,2.57785244709471,1,1,1,"FBgn0004860","ph-d",2123317,21.0857155919075,9.702667,"1"
"147","chr2R",11712263,11712263,1,"+","FBtr0113070",2.20802536701503,1,11712263,2.20802536701503,1,1,1,"FBgn0033649","pyr",11712263,16.0005952119827,7.891298,"1"
"148","chr3R",27151032,27151032,1,"-","FBtr0113297",5.84359841464916,1,27151032,5.84359841464916,1,1,1,"FBgn0039492","CG6051",81453096,223.043916732073,37.441055,"1"
"149","chrX",1134892,1134892,1,"-","FBtr0113327",3.20215093212155,1,1134892,3.20215093212155,1,1,1,"FBgn0040397","CG3655",2269784,46.6428333520889,1.14502,"1"
"150","chr3R",25329312,25329312,1,"-","FBtr0113352",7.64517768066215,1,25329312,7.64517768066215,1,1,1,"FBgn0045761","CHKov1",25329312,70.3587846755981,144.121914,"1"
