submitted_id	current_id	converted_id	current_symbol
FBgn0013269	FBgn0013269	FBgn0013269	FK506-bp1
FBgn0011272	FBgn0011272	FBgn0011272	RpL13
FBgn0052704	FBgn0052704	FBgn0052704	Ir8a
FBgn0040364	FBgn0040364	FBgn0040364	CG11378
FBgn0011744	FBgn0262716	FBgn0262716	Arp3
FBgn0031762	FBgn0031762	FBgn0031762	CG9098
FBgn0036997	FBgn0036997	FBgn0036997	CG5955
FBgn0038258	FBgn0038258	FBgn0038258	CG7362
FBgn0027567	FBgn0027567	FBgn0027567	CG8108
FBgn0031116	FBgn0031116	FBgn0031116	CG1695
FBgn0001257	FBgn0001257	FBgn0001257	ImpL2
FBgn0038675	FBgn0038675	FBgn0038675	CG6013
FBgn0034201	FBgn0034201	FBgn0034201	CG17290
FBgn0261801	FBgn0261801	FBgn0261801	CG42747
FBgn0085378	FBgn0266719	FBgn0266719	Unc-13-4B
FBgn0036116	FBgn0036116	FBgn0036116	CG7888
FBgn0261456	FBgn0261456	FBgn0261456	hpo
FBgn0259791	FBgn0259791	FBgn0259791	bora
FBgn0031730	FBgn0031730	FBgn0031730	CG7236
FBgn0036969	FBgn0036969	FBgn0036969	Spn77Bb
FBgn0000640	FBgn0000640	FBgn0000640	Fbp2
FBgn0039059	FBgn0039059	FBgn0039059	CG13829
FBgn0027865	FBgn0027865	FBgn0027865	Tsp96F
FBgn0040233	FBgn0040233	FBgn0040233	cana
FBgn0032336	FBgn0032336	FBgn0032336	AstC
FBgn0261625	FBgn0261625	FBgn0261625	GLS
FBgn0037757	FBgn0037757	FBgn0037757	CG8516
FBgn0022984	FBgn0022984	FBgn0022984	qkr58E-3
FBgn0031873	FBgn0031873	FBgn0031873	Gas41
FBgn0032387	FBgn0032387	FBgn0032387	CG16965
FBgn0051151	FBgn0051151	FBgn0051151	wge
FBgn0015565	FBgn0265575	FBgn0265575	yin
FBgn0028374	FBgn0028374	FBgn0028374	Hug
FBgn0029957	FBgn0029957	FBgn0029957	CG12155
FBgn0002562	FBgn0002562	FBgn0002562	Lsp1alpha
FBgn0027553	FBgn0027553	FBgn0027553	NELF-B
FBgn0259715	FBgn0259715	FBgn0259715	CG42369
FBgn0029603	FBgn0029603	FBgn0029603	CG14053
FBgn0030694	FBgn0030694	FBgn0030694	CG15602
FBgn0039801	FBgn0039801	FBgn0039801	Npc2h
FBgn0035891	FBgn0265102	FBgn0265102	Oseg1
FBgn0011455	FBgn0011455	FBgn0011455	ND-SGDH
FBgn0086610	FBgn0086610	FBgn0086610	CG33342
FBgn0061209	FBgn0061209	FBgn0061209	His2B:CG17949
FBgn0028850	FBgn0028850	FBgn0028850	CG15260
FBgn0015816	FBgn0264978	FBgn0264978	Slh
FBgn0032871	FBgn0032871	FBgn0032871	CG2611
FBgn0010105	FBgn0010105	FBgn0010105	comm
FBgn0036321	FBgn0036321	FBgn0036321	CG14120
FBgn0034705	FBgn0034705	FBgn0034705	CG11170
FBgn0036406	FBgn0036406	FBgn0036406	CG13484
FBgn0029658	FBgn0029658	FBgn0029658	CG14269
FBgn0039225	FBgn0039225	FBgn0039225	Ets96B
FBgn0025355	FBgn0025355	FBgn0025355	SuUR
FBgn0027259	FBgn0027259	FBgn0027259	Kmn1
FBgn0036287	FBgn0036287	FBgn0036287	CG10663
FBgn0035574	FBgn0035574	FBgn0035574	RhoGEF64C
FBgn0037611	FBgn0037611	FBgn0037611	CG11755
FBgn0023416	FBgn0023416	FBgn0023416	Ac3
FBgn0024833	FBgn0024833	FBgn0024833	AP-1mu
FBgn0008651	FBgn0008651	FBgn0008651	lbl
FBgn0033873	FBgn0033873	FBgn0033873	CG6337
FBgn0034863	FBgn0034863	FBgn0034863	SkpF
FBgn0053514	FBgn0053514	FBgn0053514	CG33514
FBgn0022700	FBgn0022700	FBgn0022700	Cht4
FBgn0039909	FBgn0039909	FBgn0039909	ND-49
FBgn0034210	FBgn0034210	FBgn0034210	CG6568
FBgn0038462	FBgn0038462	FBgn0038462	CG17556
FBgn0261396	FBgn0261396	FBgn0261396	Rpn3
FBgn0027525	FBgn0027525	FBgn0027525	LTV1
FBgn0039087	FBgn0039087	FBgn0039087	CG10168
FBgn0034661	FBgn0034661	FBgn0034661	CG4386
FBgn0038780	FBgn0262582	FBgn0262582	cic
FBgn0033056	FBgn0033056	FBgn0033056	CG7856
FBgn0005648	FBgn0005648	FBgn0005648	Pabp2
FBgn0035204	FBgn0035204	FBgn0035204	CG2277
FBgn0259099	FBgn0259099	FBgn0259099	DCX-EMAP
FBgn0036104	FBgn0036104	FBgn0036104	CG6418
FBgn0051323	FBgn0051323	FBgn0051323	CG31323
FBgn0054048	FBgn0265002	FBgn0265002	CG44153
FBgn0037131	FBgn0037131	FBgn0037131	CG14564
FBgn0022085	FBgn0263197	FBgn0263197	Patronin
FBgn0063499	FBgn0063499	FBgn0063499	GstE10
FBgn0014859	FBgn0014859	FBgn0014859	Hr38
FBgn0031357	FBgn0031357	FBgn0031357	mRpL48
FBgn0031513	FBgn0031513	FBgn0031513	CG3347
FBgn0032493	FBgn0032493	FBgn0032493	Mabi
FBgn0039080	FBgn0039080	FBgn0039080	Ir94h
FBgn0038256	FBgn0038256	FBgn0038256	CG7530
FBgn0004432	FBgn0004432	FBgn0004432	Cyp1
FBgn0033614	FBgn0033614	FBgn0033614	Obp47b
FBgn0259222	FBgn0259222	FBgn0259222	CG42322
FBgn0250816	FBgn0250816	FBgn0250816	AGO3
FBgn0041097	FBgn0041097	FBgn0041097	robo3
FBgn0038852	FBgn0038852	FBgn0038852	HHEX
FBgn0023517	FBgn0023517	FBgn0023517	Pgam5
FBgn0033264	FBgn0033264	FBgn0033264	Nup50
FBgn0000644	FBgn0000644	FBgn0000644	Fcp3C
FBgn0260480	FBgn0260480	FBgn0260480	CG32295
FBgn0038167	FBgn0038167	FBgn0038167	Lkb1
FBgn0003044	FBgn0003044	FBgn0003044	Pcl
FBgn0029155	FBgn0029155	FBgn0029155	Men-b
FBgn0040466	FBgn0040466	FBgn0040466	Dlip2
FBgn0038354	FBgn0038354	FBgn0038354	CG5404
FBgn0015924	FBgn0015924	FBgn0015924	crq
FBgn0053300	FBgn0053300	FBgn0053300	Muc30E
FBgn0038269	FBgn0038269	FBgn0038269	Rrp6
FBgn0036225	FBgn0036225	FBgn0036225	CG5883
FBgn0038889	FBgn0038889	FBgn0038889	Fancm
FBgn0034899	FBgn0034899	FBgn0034899	CG13560
FBgn0003559	FBgn0003559	FBgn0003559	su(f)
FBgn0035151	FBgn0035151	FBgn0035151	CG17129
FBgn0035270	FBgn0035270	FBgn0035270	CG13933
FBgn0039844	FBgn0039844	FBgn0039844	CG1607
FBgn0023521	FBgn0023521	FBgn0023521	CG3587
FBgn0038266	FBgn0038266	FBgn0038266	CG3610
FBgn0033508	FBgn0033508	FBgn0033508	Obp46a
FBgn0045866	FBgn0045866	FBgn0045866	bai
FBgn0038642	FBgn0038642	FBgn0038642	Muc91C
FBgn0038567	FBgn0038567	FBgn0038567	CG14316
FBgn0051872	FBgn0051872	FBgn0051872	CG31872
FBgn0033244	FBgn0033244	FBgn0033244	CG8726
FBgn0053792	FBgn0053792	FBgn0053792	CG33792
FBgn0038219	FBgn0038219	FBgn0038219	CG14839
FBgn0000212	FBgn0000212	FBgn0000212	brm
FBgn0038805	FBgn0038805	FBgn0038805	TFAM
FBgn0260933	FBgn0260933	FBgn0260933	rempA
FBgn0032151	FBgn0032151	FBgn0032151	nAChRalpha6
FBgn0053241	FBgn0053241	FBgn0053241	Ste:CG33241
FBgn0050287	FBgn0050287	FBgn0050287	CG30287
FBgn0003326	FBgn0003326	FBgn0003326	sca
FBgn0031757	FBgn0031757	FBgn0031757	Ucp4C
FBgn0032066	FBgn0032066	FBgn0032066	LManIII
FBgn0030050	FBgn0030050	FBgn0030050	CG12111
FBgn0033153	FBgn0033153	FBgn0033153	Gadd45
FBgn0010611	FBgn0010611	FBgn0010611	Hmgs
FBgn0030007	FBgn0030007	FBgn0030007	alpha-PheRS
FBgn0261067	FBgn0261067	FBgn0261067	LSm1
FBgn0035393	FBgn0035393	FBgn0035393	CG16753
FBgn0034354	FBgn0034354	FBgn0034354	GstE11
FBgn0023197	FBgn0023197	FBgn0023197	Jon74E
FBgn0034924	FBgn0034924	FBgn0034924	CG17658
FBgn0036781	FBgn0036781	FBgn0036781	CG13699
FBgn0029791	FBgn0029791	FBgn0029791	CG4096
FBgn0001297	FBgn0001297	FBgn0001297	kay
FBgn0027621	FBgn0027621	FBgn0027621	Pfrx
FBgn0029724	FBgn0029724	FBgn0029724	CG15472
FBgn0037786	FBgn0037786	FBgn0037786	CG5361
FBgn0036202	FBgn0036202	FBgn0036202	CG6024
FBgn0032513	FBgn0032513	FBgn0032513	CG6565
FBgn0024364	FBgn0024364	FBgn0024364	CG11417
FBgn0053688	FBgn0053688	FBgn0053688	CG33688
FBgn0036072	FBgn0036072	FBgn0036072	CG6628
FBgn0035410	FBgn0035410	FBgn0035410	CG14964
FBgn0040087	FBgn0040087	FBgn0040087	p115
FBgn0004855	FBgn0004855	FBgn0004855	RpII15
FBgn0052778	FBgn0263772	FBgn0263772	CG43689
FBgn0038131	FBgn0038131	FBgn0038131	CG15888
FBgn0034128	FBgn0034128	FBgn0034128	CG4409
FBgn0031638	FBgn0031638	FBgn0031638	CG11927
FBgn0039945	FBgn0039945	FBgn0039945	CG17159
FBgn0032943	FBgn0032943	FBgn0032943	Tsp39D
FBgn0032721	FBgn0032721	FBgn0032721	CG10602
FBgn0003206	FBgn0003206	FBgn0003206	Ras64B
FBgn0035679	FBgn0035679	FBgn0035679	CG10467
FBgn0053105	FBgn0053105	FBgn0053105	p24-2
FBgn0038547	FBgn0038547	FBgn0038547	CG17803
FBgn0038467	FBgn0038467	FBgn0038467	AdSL
FBgn0034173	FBgn0034173	FBgn0034173	CG9010
FBgn0033366	FBgn0033366	FBgn0033366	Ance-4
FBgn0004649	FBgn0004649	FBgn0004649	yl
FBgn0037561	FBgn0037561	FBgn0037561	CG9630
FBgn0052376	FBgn0052376	FBgn0052376	CG32376
FBgn0038206	FBgn0038206	FBgn0038206	twf
FBgn0011569	FBgn0011569	FBgn0011569	can
FBgn0033726	FBgn0033726	FBgn0033726	Cpr49Ad
FBgn0037975	FBgn0037975	FBgn0037975	CG3397
FBgn0052263	FBgn0052263	FBgn0052263	CG32263
FBgn0030859	FBgn0030859	FBgn0030859	CG12990
FBgn0031392	FBgn0031392	FBgn0031392	AIF
FBgn0041625	FBgn0041625	FBgn0041625	Or65a
FBgn0037008	FBgn0037008	FBgn0037008	mTerf3
FBgn0261823	FBgn0261823	FBgn0261823	Asx
FBgn0033330	FBgn0033330	FBgn0033330	CG8746
FBgn0260442	FBgn0260442	FBgn0260442	rhea
FBgn0032223	FBgn0032223	FBgn0032223	GATAd
FBgn0259721	FBgn0259721	FBgn0259721	CG42375
FBgn0259192	FBgn0259192	FBgn0259192	CG42296
FBgn0002906	FBgn0002906	FBgn0002906	Blm
FBgn0036266	FBgn0036266	FBgn0036266	CG5626
FBgn0010263	FBgn0010263	FBgn0010263	Rbp9
FBgn0085234	FBgn0085234	FBgn0085234	CG34205
FBgn0032971	FBgn0032971	FBgn0032971	ttm3
FBgn0035476	FBgn0035476	FBgn0035476	CG12766
FBgn0050118	FBgn0050118	FBgn0050118	Ttd14
FBgn0038450	FBgn0038450	FBgn0038450	CG17560
FBgn0032404	FBgn0032404	FBgn0032404	RpL7-like
FBgn0032523	FBgn0032523	FBgn0032523	CG16956
FBgn0038783	FBgn0038783	FBgn0038783	CG4367
FBgn0000416	FBgn0000416	FBgn0000416	Sap-r
FBgn0036078	FBgn0036078	FBgn0036078	Or67c
FBgn0032698	FBgn0032698	FBgn0032698	CG10336
FBgn0044812	FBgn0044812	FBgn0044812	TotC
FBgn0001078	FBgn0001078	FBgn0001078	ftz-f1
FBgn0042127	FBgn0042127	FBgn0042127	CG18789
FBgn0036187	FBgn0036187	FBgn0036187	RIOK1
FBgn0031294	FBgn0031294	FBgn0031294	IA-2
FBgn0028406	FBgn0028406	FBgn0028406	Drep4
FBgn0031309	FBgn0031309	FBgn0031309	Tfb4
FBgn0052834	FBgn0052834	FBgn0052834	CG32834
FBgn0031878	FBgn0031878	FBgn0031878	sip2
FBgn0004868	FBgn0004868	FBgn0004868	Gdi
FBgn0040333	FBgn0040333	FBgn0040333	brv3
FBgn0034724	FBgn0034724	FBgn0034724	babos
FBgn0034196	FBgn0034196	FBgn0034196	CG15605
FBgn0036363	FBgn0036363	FBgn0036363	CG10140
FBgn0039313	FBgn0039313	FBgn0039313	CG11892
FBgn0038115	FBgn0038115	FBgn0038115	CG7966
FBgn0004861	FBgn0004861	FBgn0004861	ph-p
FBgn0086689	FBgn0264785	FBgn0264785	Hph
FBgn0063492	FBgn0063492	FBgn0063492	GstE8
FBgn0030266	FBgn0030266	FBgn0030266	CG11122
FBgn0031091	FBgn0031091	FBgn0031091	Phf7
FBgn0037265	FBgn0037265	FBgn0037265	spartin
FBgn0037101	FBgn0037101	FBgn0037101	CG7634
FBgn0040323	FBgn0040323	FBgn0040323	GNBP1
